Name,Price,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Horsepower,Machinery Type,Battery Range (up to)
2011 Ford Transit Connect,"€3,500",Ford,Transit,,,2011,"269,000 km",Diesel,Manual,Van,1.8 litre,,,2,,,,,,,,,,,,
Volkswagen Up! 2012,"€5,500",Volkswagen,Up!,TAKE UP,Base Trim,2012,"118,670 km",Petrol,Manual,Hatchback,1.0 litre,75hp,13.2 sec,4,5,White,Ireland,3,190,Sep 2023,5/5,,,,,
2012 Lexus IS200D,"€9,750",Lexus,IS,S-design,Medium Trim,2012,"101,000 mi",Diesel,Manual,Saloon,2.2 litre,150hp,10.2 sec,5,4,Grey,Ireland,---,280,Sep 2022,---,,,,,
Hyundai Tucson SE 1.7 CRDi Bldr,"€16,500",Hyundai,Tucson,Comfort,Base Trim,2015,"80,000 mi",Diesel,Manual,SUV,1.7 litre,115hp,13.7 sec,5,5,Grey,Ireland,2,200,Mar 2024,5/5,,,,,
Scania T 142 H 450,"€22,000",Scania,142H,,,1985,"45,000 km",Diesel,---,---,---,,,,,,,,,,,,,450,,
Nissan Qashqai 2007,"€1,950",Nissan,Qashqai,,,2007,"299,000 km",Petrol,Manual,Hatchback,1.6 litre,,,5,5,Silver,Ireland,2,514,Feb 2023,,,,,,
Volkswagen Polo Life 1.0 TSI 95bhp  order Your 23,"€24,690",Volkswagen,Polo,---,---,2023,19 km,Petrol,Manual,Hatchback,1.0 litre,---,---,---,4,Blue,Ireland,---,---,---,---,Available,,,,
Volkswagen Other 2006,"€3,900",Volkswagen,Other,,,2006,"390,000 km",Diesel,Manual,Van,2.5 litre,,,3,,,,,,,,,,,,
Volkswagen Golf 2008,"€2,200",Volkswagen,Golf,,,2008,160 mi,Diesel,Unknown,Hatchback,1.9 litre,,,5,5,Silver,Ireland,6,280,Feb 2022,,,,,,
Mini,"€7,250",Austin,Mini,,,1990,"94,000 mi",Petrol,Manual,Saloon,1.0 litre,,,,,,,,,,,,,,,
Volkswagen Golf 1.5 Etsi 130HP Style DSG Mhev,"€38,550",Volkswagen,Golf,Style,Luxury Trim,2022,100 km,Petrol,Automatic,Estate,1.5 litre,130hp,9.4 sec,5,5,Black,Ireland,1,---,---,---,Available,,,,
Renault Captur Limited Naeb TCe 90. Service Plan,"€31,063",Renault,Captur,Limited,Base Trim,2022,0 km,Petrol,Manual,Crossover,1.0 litre,90hp,14.0 sec,5,5,Grey,Ireland,---,---,---,5/5,Available,,,,
Renault KADJAR 1.5 DCI Dynamique NAV 1 108BHP 110,"€19,449",Renault,Kadjar,Dynamique Nav,Medium Trim,2018,"69,947 km",Diesel,Manual,SUV,1.5 litre,110hp,11.9 sec,5,4,Grey,Ireland,1,170,Jul 2024,---,2 Year,,,,
181 Mercedes-Benz Sprinter 314/43 EU6 6DR,"€20,950",Mercedes-Benz,Sprinter,,,2018,"126,000 mi",Diesel,Manual,Panel Van High Roof,2.1 litre,,,3,,,,,,,,,,,,
Wheelchair Accessible,"€20,500",Peugeot,Partner,---,---,2018,"20,500 mi",Diesel,Manual,MPV,1.6 litre,---,---,---,---,---,---,---,---,---,---,,,,,
Volkswagen Taigo Life 1.0 Demo Model,"€27,950",Volkswagen,Taigo,Life,Medium Trim,2022,"9,688 km",Petrol,Manual,SUV,1.0 litre,95hp,11.1 sec,5,5,Grey,Ireland,1,200,Jan 2026,---,Available,,,,
2016 BMW M3 fully loaded 👑,"€44,800",BMW,M3,---,---,2016,"23,000 mi",Petrol,Automatic,Saloon,3.0 litre,---,---,5,4,Blue,Ireland,---,---,---,---,3 Month,,,,
Wheelchair Accessible Brand New,"€32,000",Peugeot,RIFTER,---,---,2022,0 km,Diesel,Manual,MPV,1.5 litre,---,---,5,5,---,---,---,---,---,---,,,,,
Opel Zafira Tourer SC 1.6 Cdti 136PS 5DR,"€15,500",Opel,Zafira,Club,Base Trim,2016,"157,453 km",Diesel,Manual,MPV,1.6 litre,101hp,13 sec,7,5,Red,Ireland,2,190,May 2022,---,,,,,
1972 Honda CB250,"€4,500",Honda,CB,,,1972,"48,824 mi",,,,0.3 litre,,,,,,,,,,,,,,,
Nissan Juke. ( Automatic),"€8,500",Nissan,Juke,Sport,Sports Trim,2011,"120,000 km",Petrol,Automatic,SUV,1.6 litre,117hp,11.5 sec,5,5,Red,Ireland,4,390,Nov 2022,5/5,,,,,
Hyundai ix35 Crossover 5DR Auto 2.0 4WD,"€9,950",Hyundai,ix35,---,Base Trim,2012,"124,003 km",Diesel,Automatic,SUV,2.0 litre,184hp,10.1 sec,5,5,Silver,Ireland,2,750,Dec 2023,5/5,Available,,,,
Nissan QASHQAI 1.2 PET XE 4DR,"€14,950",Nissan,Qashqai,XE,Base Trim,2015,"64,000 km",Petrol,Manual,MPV,1.2 litre,115hp,10.9 sec,5,4,Brown,Ireland,2,270,May 2023,5/5,Available,,,,
Nissan QASHQAI 1.6 DCI N-tec S/S 128BHP 5DR,"€6,950",Nissan,Qashqai,XE,Base Trim,2012,"201,168 km",Diesel,Manual,MPV,1.6 litre,130hp,10.3 sec,5,5,Red,Ireland,2,200,Oct 2022,---,Available,,,,
Toyota Yaris 1.0 Luna 4DR,"€10,750",Toyota,Yaris,Luna,Medium Trim,2016,"170,003 km",Petrol,Manual,Hatchback,1.0 litre,69hp,15.3 sec,5,4,Red,Ireland,2,180,Feb 2024,5/5,Available,,,,
BMW X3 2.0 D G01 Xdrive20d M Sport 5DR A,"€47,950",BMW,X3,M Sport,Sports Trim,2018,"43,000 km",Diesel,Automatic,Estate,2.0 litre,190hp,8.0 sec,5,5,White,Ireland,1,390,Oct 2022,5/5,Available,,,,
Audi Q7 3.0 TDI S Line Quattro 272PS 7seats 5DR AU,"€55,950",Audi,Q7,S Line,Sports Trim,2017,"174,003 km",Diesel,Automatic,Estate,3.0 litre,218hp,6.5 sec,7,5,White,Ireland,1,420,Jan 2024,5/5,Available,,,,
Mercedes-Benz CL-Class 200 CDI AMG Sport 4DR Auto,"€21,950",Mercedes-Benz,CL-Class,---,---,2016,"170,590 km",Diesel,Automatic,Saloon,2.1 litre,---,---,---,4,White,UK,2,---,---,---,Available,,,,
Peugeot 208 1.2 Automatic Petrol,"€12,450",Peugeot,208,---,---,2015,"34,001 km",Petrol,Automatic,Hatchback,1.2 litre,---,---,---,5,Red,Other,1,---,Jul 2024,---,Available,,,,
Nissan QASHQAI 1.5 DSL SV,"€16,995",Nissan,Qashqai,SV,Medium Trim,2015,"137,000 km",Diesel,Manual,Hatchback,1.5 litre,110hp,11.9 sec,5,4,Brown,Ireland,3,180,Oct 2023,5/5,Available,,,,
Kia Ceed Cee d // 180 Road Tax // 12 Months/24 Ho,"€8,888",KIA,Ceed,TX,Base Trim,2013,"178,637 km",Diesel,Manual,Hatchback,1.6 litre,128hp,10.9 sec,5,5,Silver,Ireland,2,180,Feb 2024,5/5,,,,,
Peugeot 208 1.2 Automatic Petrol,"€12,450",Peugeot,208,---,---,2015,"66,001 km",Petrol,Automatic,Hatchback,1.2 litre,---,---,---,5,Blue,Other,1,---,Jul 2024,---,Available,,,,
Suzuki jimny,"€2,200",Suzuki,Jimny,,,2003,"155,000 mi",Petrol,Manual,SUV,1.3 litre,,,4,3,Silver,Ireland,10,385,Jan 2020,,,,,,
07 Renault Clio (sold as seen),€650,Renault,Clio,,,2007,"193,008 km",Petrol,Manual,Hatchback,1.1 litre,,,5,5,Silver,Ireland,4,330,Jan 2021,,,,,,
BMW 1 Series 1.6 Petrol Automatic M Sport,"€12,950",BMW,1-Series,---,---,2013,"111,003 km",Petrol,Automatic,Hatchback,1.6 litre,---,---,---,5,Black,Other,1,---,Jul 2024,---,Available,,,,
Toyota Landcruiser 2006,"€8,500",Toyota,Landcruiser,,,2006,"217,150 km",Diesel,Manual,SUV,3.0 litre,,,2,3,Green,Ireland,3,---,---,,,,,,
Toyota Prius Hybrid Auto Alpha,"€15,250",Toyota,Prius,---,---,2015,"128,002 km",Hybrid,Automatic,Hatchback,1.8 litre,---,---,---,5,White,Other,1,---,Jul 2024,---,Available,---,,,
SEAT Leon 2.0 TDI 150HP FR DSG 5DR Auto,"€13,950",SEAT,Leon,FR,Sports Trim,2014,"171,004 km",Diesel,Automatic,Hatchback,2.0 litre,150hp,---,5,5,Blue,Ireland,5,200,Jun 2024,---,Available,,,,
Volkswagen Touran 1.4 Automatic DSG Petrol,"€13,450",Volkswagen,Touran,---,---,2013,"82,001 km",Petrol,Automatic,MPV,1.4 litre,---,---,---,5,Black,Other,1,---,Jul 2024,---,Available,,,,
BMW K 1200 LT 2005 Very low miles,"€6,950",BMW,K 1200 LT,,,2005,"12,000 mi",,,,"1,200 cc",,,,,,,,,,,,,,,
Volkswagen Touran 1.4 Automatic DSG Petrol,"€13,450",Volkswagen,Touran,---,---,2013,"86,002 km",Petrol,Automatic,MPV,1.2 litre,---,---,---,5,Red,Other,1,---,---,---,Available,,,,
Mercedes-Benz A-Class A180 D SE 5DR Auto,"€19,950",Mercedes-Benz,A-Class,STYLE,Medium Trim,2017,"167,003 km",Diesel,Automatic,Hatchback,1.5 litre,109hp,11.3 sec,5,5,Red,Ireland,2,170,Jul 2023,5/5,Available,,,,
Audi S8 4 Liter v8 Petrol Turbo Sunroof Model,"€65,950",Audi,S8,---,---,2016,"56,000 km",Petrol,Automatic,Saloon,4.0 litre,---,---,---,4,Grey,Other,1,---,---,---,Available,,,,
PRICE REDUCED -MERCEDES -E 220 -LOW MILEAGE,"€30,750",Mercedes-Benz,E-Class,AVANTGARDE,Base Trim,2017,"28,000 mi",Diesel,Automatic,Saloon,2.0 litre,194hp,7.3 sec,5,4,Silver,Ireland,2,190,Jan 2023,5/5,,,,,
Toyota Avensis NG 2.0 D-4d Terra 4DR,"€4,450",Toyota,Avensis,,,2010,"225,005 km",Diesel,Manual,Saloon,2.0 litre,,,---,4,Grey,Ireland,3,---,Feb 2023,,Available,,,,
Skoda Octavia 2.0 TDI 150HP DSG (( Automatic Full,"€11,950",Skoda,Octavia,Ambition,Medium Trim,2013,"138,788 km",Diesel,Automatic,Hatchback,2.0 litre,150hp,8.6 sec,5,4,Beige,Ireland,2,200,Dec 2023,5/5,,,,,
Scania Beavertail P280 - LOW KM / NEW BODY,"€43,000",Scania,Other,,,2011,380 km,Diesel,Automatic,Recovery Vehicle,9.3 litre,,,,,,,,,,,,,380,,
"Volkswagen Golf 172, 19inch alloys","€16,500",Volkswagen,Golf,Trendline,Base Trim,2017,"83,000 mi",Diesel,Manual,Hatchback,1.6 litre,115hp,10.2 sec,5,5,Grey,Ireland,---,190,Sep 2023,5/5,,,,,
Toyota Avensis 1.6 D Luna 4DR,"€10,950",Toyota,Avensis,Luna,Medium Trim,2016,"269,006 km",Diesel,Manual,Saloon,1.6 litre,112hp,11.4 sec,5,4,Grey,Ireland,2,190,May 2024,---,Available,,,,
Land Rover Discovery 2.0 TD4 SE 180 My16 5DR,"€41,950",LAND ROVER,Discovery,SE,Medium Trim,2017,"177,003 km",Diesel,Automatic,Estate,2.0 litre,180hp,10.5 sec,5,5,Black,Ireland,2,570,Sep 2023,5/5,Available,,,,
Land Rover Range Rover 3.6 TD V8 HSE 0 5DR A,"€9,950",LAND ROVER,Range Rover,,,2008,"243,006 km",Diesel,Automatic,Estate,3.6 litre,,,---,5,Grey,Ireland,6,---,---,,,,,,
2014 Skoda Superb  AMBITION 1.6 TDI,"€13,945",Skoda,Superb,Ambition,Medium Trim,2014,"76,697 mi",Diesel,Manual,Saloon,1.6 litre,105hp,---,5,4,Beige,Ireland,2,200,Nov 2022,---,3 Month,,,,
Wheelchair Taxi,"€26,000",Peugeot,Partner,---,---,2017,"14,500 mi",Diesel,Manual,MPV,1.6 litre,---,---,---,---,---,---,---,---,---,---,,,,,
Audi A3 Sport Tfsi,"€13,950",Audi,A3,SPORT,Sports Trim,2014,"187,004 km",Petrol,Manual,Hatchback,1.2 litre,105hp,10.5 sec,5,5,Red,Ireland,1,190,Dec 2023,5/5,Available,,,,
Nissan Pulsar 1.2 PET XE 4DR,"€9,950",Nissan,Pulsar,XE,Base Trim,2015,"95,001 km",Petrol,Manual,Hatchback,1.2 litre,115hp,10.7 sec,5,4,Silver,Ireland,2,200,Oct 2023,5/5,Available,,,,
Vauxhall Astra 1.7 Cdti SRI 108BHP 5DR,"€6,950",Vauxhall,Astra,---,---,2012,"161,003 km",Diesel,Manual,Hatchback,1.7 litre,---,---,---,5,Blue,Ireland,2,---,Mar 2023,---,,,,,
142 FORD RANGER AUTOMATIC LIMITED EDITION,"€16,056",Ford,Ranger,,,2014,"112,000 mi",Diesel,Automatic,Double Cab Pickup,2.2 litre,,,5,,,,,,,,,,,,
"Ford Fiesta, 2009","€4,650",Ford,Fiesta,,,2009,"121,811 km",Petrol,Manual,Hatchback,1.2 litre,,,5,5,Red,Ireland,---,280,Feb 2023,,3 Month,,,,
Ford Focus 1.6 Tdci 95ps Zetec,"€9,995",Ford,Focus,ZETEC,Sports Trim,2013,"190,000 km",Diesel,Manual,Hatchback,1.6 litre,95hp,12.5 sec,5,4,Red,Ireland,2,190,Sep 2023,5/5,Available,,,,
Audi Q5 2.0tdi 190HP Quattro S-tronic SE,"€31,000",Audi,Q5,SE,Medium Trim,2016,"101,500 km",Diesel,Automatic,SUV,2.0 litre,190hp,9.0 sec,5,4,Blue,Ireland,2,390,Jul 2022,5/5,12 Month,,,,
Fiat Doblo 2010,"€6,500",Fiat,Doblo,,,2010,"217,404 km",Diesel,Manual,MPV,1.6 litre,,,5,5,Red,Ireland,1,280,Feb 2022,,,,,,
"Volkswagen Polo, 2012","€9,950",Volkswagen,Polo,TRENDLINE,Base Trim,2012,"75,329 km",Petrol,Automatic,Hatchback,1.2 litre,60hp,16.1 sec,5,5,White,Ireland,---,200,---,---,,,,,
Mercedes-Benz Atego 2012,"€18,500",Mercedes-Benz,Atego,,,2012,"168,715 km",Diesel,Unknown,Tipper,4.3 litre,,,,,,,,,,,,,180,,
Mercedes-Benz V-Class 109 Ka/l Classic EU6 6DR,"€22,078",Mercedes-Benz,V-Class,,,2019,"126,927 km",Diesel,Manual,Van,1.6 litre,,,---,,,,,,,,,,,,
2012 Volkswagen Passat 1.6tdi 105bhp (New Nct),"€7,250",Volkswagen,Passat,TRENDLINE,Base Trim,2012,---,Diesel,Manual,Saloon,1.6 litre,105hp,12.2 sec,5,4,Grey,Ireland,2,200,Sep 2023,5/5,3 Month,,,,
SEAT Ateca 1.0tsi 115HP SE,"€23,950",SEAT,Ateca,SE,Medium Trim,2019,"69,750 km",Petrol,Manual,SUV,1.0 litre,115hp,10.7 sec,5,5,Red,Ireland,1,270,Jul 2023,5/5,Available,,,,
Volkswagen Golf 2007,"€1,350",Volkswagen,Golf,,,2007,"346,077 km",Petrol,Manual,Hatchback,1.4 litre,,,5,5,Black,Ireland,4,385,Mar 2022,,,,,,
Hyundai Tucson 1.7 D Comfort,"€20,450",Hyundai,Tucson,Comfort,Base Trim,2016,"45,000 mi",Diesel,Manual,SUV,1.7 litre,115hp,13.7 sec,5,5,White,Ireland,1,200,Nov 2022,5/5,12 Month,,,,
Renault Captur SE Edition Naeb Tce  Service Plan,"€35,168",Renault,Captur,SE Edition,Luxury Trim,2022,0 km,Petrol,Manual,Crossover,1.0 litre,90hp,14.0 sec,5,5,Grey,Ireland,1,---,---,5/5,Available,,,,
08 Audi A4 AVANT New NCT 11/23,"€3,950",Audi,A4,,,2008,"234,000 km",Diesel,Manual,Estate,2.0 litre,,,5,5,Black,Ireland,1,280,Nov 2023,,,,,,
Peugeot 5008 Allure 1.2 Petrol 2018,"€29,750",Peugeot,5008,Allure,Luxury Trim,2018,"92,800 km",Petrol,Manual,MPV,1.2 litre,130hp,10.9 sec,7,4,White,Ireland,---,200,Jan 2024,5/5,,,,,
2013 mercedes e220 se cdi auto,"£7,000",Mercedes-Benz,E-Class,---,---,2013,"103,029 mi",Diesel,Automatic,Saloon,2.1 litre,---,---,5,4,Silver,United Kingdom,2,---,---,---,,,,,
"Volkswagen Polo, 2012","€9,150",Volkswagen,Polo,HIGHLINE,Luxury Trim,2012,"137,237 km",Petrol,Automatic,Hatchback,1.2 litre,105hp,9.7 sec,5,5,Silver,Ireland,---,200,---,5/5,,,,,
Nissan Juke 1.0 Petrol SV Premium,"€30,550",Nissan,Juke,---,---,2023,10 km,Petrol,Manual,SUV,1.0 litre,---,---,---,4,Silver,Ireland,---,200,Jan 2024,---,Available,,,,
Citroen Berlingo Immaculate 625 Enterprise H Fina,"€9,949",Citroen,Berlingo,,,2016,"223,252 km",Diesel,Manual,Van,1.6 litre,,,---,,,,,,,,,,,,
2012 Volkswagen Golf Manual White New Nct 1.6,"€8,950",Volkswagen,Golf,MATCH,Medium Trim,2012,"165,000 mi",Diesel,Manual,Hatchback,1.6 litre,105hp,11.3 sec,5,3,White,Ireland,---,190,Dec 2023,---,,,,,
Honda Shuttle  1.5 Self Charging Hybrid automatic,"€13,950",Honda,Shuttle,---,---,2017,"156,003 km",Hybrid,Automatic,MPV,1.5 litre,---,---,---,4,White,Ireland,1,---,Sep 2024,---,Available,---,,,
Toyota Prius Zvw50 5DR Auto,"€21,490",Toyota,Prius,---,Base Trim,2018,"55,666 mi",Hybrid,Automatic,Hatchback,1.8 litre,122hp,10.6 sec,5,5,White,Ireland,1,150,---,5/5,Available,---,,,
Ford Fiesta 2004,"€1,500",Ford,Fiesta,,,2004,"97,200 mi",Petrol,Manual,Hatchback,1.2 litre,,,5,5,Silver,Ireland,4,358,May 2023,,,,,,
Nissan Almera new nct 8/23,"€1,450",Nissan,Almera,,,2005,"198,129 km",Petrol,Manual,Hatchback,1.5 litre,,,5,5,Brown,Ireland,6,413,Aug 2023,,,,,,
Nissan juke automatic,"€11,200",Nissan,Juke,SV,Medium Trim,2013,"28,000 mi",Petrol,Automatic,SUV,1.6 litre,117hp,11.5 sec,5,5,White,Ireland,2,390,Mar 2024,5/5,,,,,
South - north and north - south,€1,Scania,r560,,,2013,---,Diesel,Automatic,Articulated Tractor Unit,15.6 litre,,,,,,,,,,,,,560,,
*90* 2019 Nissan Qashqai 1.5dci tekna plus,"€27,900",Nissan,Qashqai,---,---,2019,"45,240 mi",Diesel,Manual,SUV,1.5 litre,---,---,5,5,Red,Ireland,---,190,---,---,12 Month,,,,
Kia Sportage 1.7 Lxes 4DR,"€11,990",KIA,Sportage,LXES,Base Trim,2014,"240,006 km",Diesel,Manual,MPV,1.7 litre,115hp,12.3 sec,5,4,Black,Ireland,3,280,Jun 2024,---,,,,,
Kia Niro EV 453km Range,"€45,480",KIA,Niro,---,---,2022,6 km,Electric,Automatic,MPV,,---,---,---,5,Grey,---,---,---,---,---,Available,---,,,---
shredder,"€10,750",Other,,,,,,,,,,,,,,,,,,,,,,,Other,
***  KOHLER KDI 4 CYL DIESEL ENGINE....UNUSED ***,No Price,---,,,,,,,,,,,,,,,,,,,,,,,---,
11 Audi A3 TDI 5 DR PANORAMIC SUNROOF NCT FSH,"€7,750",Audi,A3,SPORT,Sports Trim,2011,"140,000 mi",Diesel,Manual,Hatchback,1.6 litre,105hp,11.7 sec,5,5,Black,Ireland,3,200,Jul 2023,---,,,,,
221d BMW M4 Competition,"€159,900",BMW,M4,M4,Sports Trim,2022,"4,000 km",Petrol,Automatic,Coupe,3.0 litre,431hp,4.3 sec,5,2,Red,Ireland,---,1250,---,---,,,,,
Audi Q5,"€22,995",Audi,Q5,S Line,Luxury Trim,2016,"275,000 km",Diesel,Manual,SUV,2.0 litre,150hp,10.9 sec,5,5,Silver,Ireland,---,570,May 2024,5/5,,,,,
2007 Kia Picanto !! low millage !!,€899,KIA,Picanto,,,2007,"62,417 km",Petrol,Manual,Hatchback,1.0 litre,,,4,5,Blue,Ireland,4,199,Jan 2023,,,,,,
Nissan QASHQAI 1.2 PET XE,"€24,995",Nissan,Qashqai,XE,Base Trim,2018,"85,423 km",Petrol,Manual,Hatchback,1.2 litre,115hp,10.9 sec,5,5,Black,Ireland,1,200,Mar 2024,5/5,Available,,,,
Skoda Kodiaq Style Auto 2.0 TDI 150HP 7 Seat,"€47,500",Skoda,Kodiaq,Style,Luxury Trim,2020,"31,645 mi",Diesel,Automatic,SUV,2.0 litre,150hp,10.2 sec,7,4,Black,Ireland,1,270,Sep 2024,5/5,12 Month,,,,
Volkswagen Golf 1.5 TSI 130HP Style,"€34,400",Volkswagen,Golf,Style,Luxury Trim,2022,100 km,Petrol,Manual,Estate,1.5 litre,130hp,9.2 sec,5,5,Blue,Ireland,1,---,---,---,Available,,,,
John Deere GX355 Ride On Mower For Auction,€1,Other,,,,,,,,,,,,,,,,,,,,,,,Other,
2007 Ford Focus 1.4Petrol Nct & taxed,€595,Ford,Focus,,,2007,"163,000 km",Petrol,Manual,Saloon,1.4 litre,,,5,4,Silver,Ireland,4,385,Oct 2022,,,,,,
Volkswagen Golf 2004,"€1,650",Volkswagen,Golf,,,2004,"109,000 km",Petrol,Manual,Hatchback,1.4 litre,,,5,5,Blue,Ireland,6,385,Mar 2023,,,,,,
BMW 530E M Sport 252HP Sunroof 182D,"€38,495",BMW,5-Series,---,---,2018,"43,000 mi",Petrol Plug-in Hybrid,Automatic,Saloon,2.0 litre,---,---,5,4,Black,---,1,170,---,---,12 Month,---,,,---
Renault Master 2016,"€10,750",Renault,Master,,,2016,---,Diesel,Manual,Van,2.3 litre,,,3,,,,,,,,,,,,
Renault Trafic 2019,"€17,000",Renault,Trafic,,,2019,"65,000 mi",Diesel,---,MPV,1.6 litre,,,3,,,,,,,,,,,,
"BMW 3-Series, 2008,FSH,NCT,TAX Only 84 k Kms","€13,950",BMW,3-Series,,,2008,"84,600 km",Petrol,Automatic,Convertible,3.0 litre,,,5,2,Silver,Ireland,1,750,Dec 2022,,3 Month,,,,
Toyota Landcruiser gearknob //all spares,€30,Toyota,Landcruiser,,,2005,---,Diesel,Manual,SUV,3.0 litre,,,---,,,,,,,,,,,,
Nissan Micra 1.0t SV,"€19,995",Nissan,Micra,SV,Medium Trim,2021,"3,862 km",Petrol,Manual,Hatchback,1.0 litre,100hp,16.4 sec,5,4,Grey,Ireland,1,200,Jan 2025,4/5,Available,,,,
Nissan QASHQAI 1.3 PET SV Premium,"€30,995",Nissan,Qashqai,SV Premium,Medium Trim,2020,"30,607 km",Petrol,Manual,MPV,1.3 litre,160hp,8.9 sec,5,4,Black,Ireland,1,270,Jan 2024,5/5,Available,,,,
Renault Master L3h2 135BHP,"€18,950",Renault,Master,---,---,2017,"125,000 km",Diesel,Manual,MPV,2.3 litre,---,---,---,3,White,Ireland,---,---,---,---,Available,,,,
Toyota Prius 1.8 Hybrid,"€21,490",Toyota,Prius,---,Base Trim,2018,"64,764 mi",Hybrid,Automatic,Hatchback,1.8 litre,122hp,10.6 sec,5,5,Silver,Ireland,1,150,---,5/5,Available,---,,,
Volkswagen Passat 2013,"€7,500",Volkswagen,Passat,BLUEMOTION,Base Trim,2013,"158,000 mi",Diesel,Unknown,Estate,1.6 litre,105hp,12.5 sec,5,---,Grey,Ireland,1,200,Sep 2023,5/5,,,,,
Audi Q3 35 TDI 150HP S Tronic SE,"€49,950",Audi,Q3,SE,Base Trim,2022,"24,318 km",Diesel,Automatic,SUV,2.0 litre,150hp,9.3 sec,5,4,White,Ireland,1,270,Mar 2026,---,2 Year,,,,
Mercedes sprinter,"€9,000",Mercedes-Benz,Sprinter,,,2013,"264,000 mi",Diesel,Manual,---,2.1 litre,,,---,,,,,,,,,,,,
Toyota Hilux all spares// fuel filler neck,€71,Toyota,Hilux,,,2008,---,Diesel,---,Crew Cab,2.5 litre,,,---,,,,,,,,,,,,
Suzuki sv650 race track bike,"€5,500",Suzuki,SV 650,,,2018,"3,600 km",,,,650 cc,,,,,,,,,,,,,,,
Hyundai Tucson 2017,"€29,499",Hyundai,Tucson,Premium,Medium Trim,2017,"36,600 km",Diesel,Manual,SUV,1.7 litre,115hp,13.7 sec,5,5,White,Ireland,1,200,Jan 2023,5/5,,,,,
Volkswagen Caddy,"€15,000",Volkswagen,Caddy,Trendline,Base Trim,2017,"89,000 km",Diesel,Manual,MPV,2.0 litre,102hp,---,2,5,Grey,Ireland,2,---,---,4/5,,,,,
Car,"€8,500",Toyota,Yaris,Aura,Medium Trim,2015,"128,000 km",Petrol,Manual,Hatchback,1.0 litre,69hp,15.3 sec,5,4,Grey,Ireland,2,180,Sep 2023,5/5,,,,,
Plant & Lifting Equipment Certification,"€12,345",Other,,,,,,,,,,,,,,,,,,,,,,,Other,
"NEW HOLLAND LB110 BACKHOE, 2500 hrs - 11014961",No Price,New Holland,,,,,,,,,,,,,,,,,,,,,,,Loaders,
Skoda Karoq Sportline 2.0tdi 115BHP - Order NOW F,No Price,Skoda,Karoq,---,---,2022,---,Diesel,Manual,Crossover,2.0 litre,---,---,---,5,Grey,Other,---,---,---,---,Available,,,,
Renault Clio Iconic TCe 100 My19  2 Years Kearys,"€20,990",Renault,Clio,Iconic,Medium Trim,2021,"11,335 km",Petrol,Manual,Hatchback,1.0 litre,100hp,11.8 sec,5,5,Red,Ireland,1,190,Jan 2025,5/5,Available,,,,
Volkswagen Tiguan R-line 2.0tdi 150HP Bluemotion,"€35,975",Volkswagen,Tiguan,Highline,Luxury Trim,2017,"101,780 km",Diesel,Automatic,SUV,2.0 litre,150hp,9.3 sec,5,5,Grey,Ireland,1,270,---,---,Available,,,,
Toyota RAV4 2004,"€1,800",Toyota,RAV4,,,2004,"125,500 mi",Petrol,Manual,SUV,1.8 litre,,,4,3,Silver,Ireland,1,636,Sep 2022,,,,,,
"Dispatch MWB 100 6 Speed €1,500 Scrappage Offer","€18,290",Citroen,Dispatch,,,2020,"109,200 km",Diesel,Manual,Panel Van,1.5 litre,,,3,,,,,,,,,,,,
Skoda Octavia Ambition 1.0tsi 110Bhp With Extras,"€28,950",Skoda,Octavia,AMBITION,Medium Trim,2022,"8,000 km",Petrol,Manual,Saloon,1.0 litre,110hp,9.9 sec,5,5,Silver,Ireland,1,190,Jul 2026,---,2 Year,,,,
Renault Captur SE Edition Naeb TCe 90  Service Pl,"€35,168",Renault,Captur,SE Edition,Luxury Trim,2022,0 km,Petrol,Manual,Crossover,1.0 litre,90hp,14.0 sec,5,5,Grey,Ireland,---,---,---,5/5,Available,,,,
Volkswagen Golf 1.5 TSI 130HP Style,"€34,400",Volkswagen,Golf,Style,Luxury Trim,2022,100 km,Petrol,Manual,Estate,1.5 litre,130hp,9.2 sec,5,5,White,Ireland,1,---,---,---,Available,,,,
JCB 714 ARTIC DUMPER - 11015054,"£28,500",JCB,,,,,,,,,,,,,,,,,,,,,,,Dumpers,
Vauxhall Insignia 2012,"€3,150",Vauxhall,Insignia,---,---,2012,---,Diesel,Unknown,Hatchback,2.0 litre,---,---,5,---,Black,Ireland,---,200,Mar 2023,---,,,,,
Hilux 2005,"€4,000",Toyota,Hilux,,,2005,"167,000 mi",Diesel,Manual,Pick Up,2.5 litre,,,5,,,,,,,,,,,,
Niftylift  170 HDE,No Price,Niftylift,,,,,,,,,,,,,,,,,,,,,,,Other,
Toyota Proace Proace 2.0 (140hp) GX LWB,"€33,500",Toyota,Proace,,,2022,0 km,Diesel,Manual,Van,2.0 litre,,,---,,,,,,,,,,,,
BMW X1 Sdrive18d M Sport - Order Yours now,No Price,BMW,X1,Sport Premier,Sports Trim,2022,0 km,Diesel,Automatic,Estate,2.0 litre,148hp,8.9 sec,5,4,Black,Ireland,1,---,---,---,Available,,,,
