Name,Price,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Horsepower,Machinery Type,Battery Range (up to)
"Toyota Auris, 2007","€3,295",Toyota,Auris,,,2007,"221,000 km",Petrol,Manual,Hatchback,1.4 litre,,,5,5,Black,Ireland,2,385,Sep 2023,,,,,,
Volvo gearbox,"€1,234",Volvo,FL220,,,2004,"120,000 km",Diesel,---,Tanker,5.5 litre,,,2,,,,,,,,,,,,
Opel Crossland X 1.2i (82ps) 6 Speed SE,"€17,950",Opel,Crossland X,SE,Luxury Trim,2018,"76,117 km",Petrol,Manual,SUV,1.2 litre,81hp,14.0 sec,5,5,White,Ireland,1,200,Jul 2022,---,Available,,,,
🔵 Hyundai i30 2013 1.6 DSL DELUXE 4DR,"€7,950",Hyundai,i30,Deluxe,Medium Trim,2013,"186,780 km",Diesel,Manual,Hatchback,1.6 litre,110hp,11.5 sec,5,4,Silver,Ireland,1,180,May 2023,5/5,3 Month,,,,
"Opel Astra, 2010","€3,995",Opel,Astra,,,2010,"218,000 km",Petrol,Manual,Hatchback,1.4 litre,,,5,5,Black,Ireland,5,270,Mar 2023,,3 Month,,,,
Nissan Juke 2012,"€6,000",Nissan,Juke,SV,Medium Trim,2012,"159,000 km",Diesel,Manual,SUV,1.5 litre,110hp,11.2 sec,5,5,Grey,Ireland,4,280,Jan 2023,5/5,,,,,
2013 Volkswagen Caddy 1.6 Diesel DOE 02/23,"€7,995",Volkswagen,Caddy,,,2013,"255,000 km",Diesel,Manual,Panel Van,1.6 litre,,,---,,,,,,,,,,,,
Nissan Leaf Leaf SVE 40 kWh,"€23,900",Nissan,Leaf,SVE,Luxury Trim,2018,"73,000 km",Electric,Automatic,Hatchback,,150hp,7.9 sec,5,4,Grey,Ireland,1,120,Apr 2022,5/5,,40 kWh,,,270 km
Renault Master 14 ft Dropside FWD Single Wheel,"€38,500",Renault,Master,,,2022,300 mi,Diesel,Manual,Van,2.3 litre,,,---,,,,,,,,,,,,
Car,"€8,000",Ford,Focus,ZETEC,Sports Trim,2013,"92,000 mi",Petrol,Manual,Hatchback,1.0 litre,100hp,12.5 sec,5,5,Grey,Ireland,1,190,Dec 2022,5/5,,,,,
Volkswagen Golf 1.4 Auto Highline 138BHP High Spec,"€17,950",Volkswagen,Golf,Highline,Medium Trim,2016,"87,001 km",Petrol,Automatic,Hatchback,1.4 litre,150hp,8.4 sec,5,5,Silver,Ireland,1,190,Jan 2024,---,,,,,
*124* 2018 Vauxhall Insignia 1.6 elite nav,"€20,745",Vauxhall,Insignia,---,---,2018,"72,048 mi",Diesel,Manual,Hatchback,1.6 litre,---,---,5,5,Grey,Ireland,---,---,Jun 2024,---,6 Month,,,,
Hyundai I30 estate,"€16,000",Hyundai,i30,Deluxe,Medium Trim,2018,"37,889 mi",Diesel,Manual,Estate,1.6 litre,110hp,---,5,5,Silver,Ireland,---,180,---,5/5,,,,,
"Hyundai i10, 2010","€3,895",Hyundai,i10,,,2010,"126,000 mi",Petrol,---,Hatchback,1.2 litre,,,5,5,Grey,Ireland,1,200,Jan 2023,,,,,,
Corolla van,"€2,500",Toyota,Corolla,,,2005,"287,200 km",Diesel,Manual,Van,1.4 litre,,,2,,,,,,,,,,,,
Audi A6 3.0 TDI SE 4d 215 BHP,"£14,900",Audi,A6,SE,Base Trim,2015,"87,000 mi",Diesel,Manual,Saloon,3.0 litre,218hp,6.6 sec,5,4,White,UK,---,---,---,5/5,,,,,
Hyundai I40 2018,"€16,999",Hyundai,i40,Comfort,Base Trim,2018,"90,725 km",Diesel,Manual,Estate,1.7 litre,115hp,12.6 sec,5,5,Silver,Ireland,---,190,Feb 2024,5/5,,,,,
"Renault Clio, 2011","€5,495",Renault,Clio,DYNAMIQUE,Medium Trim,2011,"233,000 km",Diesel,Manual,Hatchback,1.5 litre,90hp,11.2 sec,5,4,Red,Ireland,1,190,Mar 2023,---,3 Month,,,,
"SEAT Ibiza, 2011, 1.2, taxed and Nctd","€5,250",SEAT,Ibiza,REFERENCE,Medium Trim,2011,"175,000 km",Petrol,Manual,Hatchback,1.2 litre,70hp,13.9 sec,5,3,Grey,Ireland,2,270,May 2023,---,3 Month,,,,
Ford mondeo for sale taxed,"€1,750",Ford,Mondeo,,,2010,"245,000 km",Diesel,---,Hatchback,2.0 litre,,,5,---,Silver,Ireland,1,390,---,,,,,,
"Transit, 350, dtci , £2500 ono.   2.4","€2,500",Ford,Transit,,,2007,"158,000 km",Diesel,Manual,Van,2.4 litre,,,---,,,,,,,,,,,,
